Ticket_ID,Employee_ID (Guide),Ticket_Type,Price,Date_issued,Extra_Cost
000001,NULL,Child (0-3),0,2025-4-12 10:05,0
000002,200011,Family,19.2,2025-4-12 10:15,5
000003,NULL,Disabled,4.8,2025-4-12 11:00,0
000004,200012,Adult,24,2025-4-12 11:15,0
000005,NULL,Family,19.2,2025-4-12 12:00,0
000006,200012,Student,18,2025-4-12 13:30,0
000007,NULL,Elderly,16.8,2025-4-12 14:00,0
000008,200012,Child (4-12),16.8,2025-4-12 15:00,5
000009,NULL,Teacher,12,2025-4-12 16:00,0
000010,200012,Adult,24,2025-4-12 16:30,0
