Animal_ID,Diet_ID,Habitat_ID,Employee_ID (Trainer),Name,Category,Species,Behavioral_Characteristics,Date_Joined
100001,150001,540501,200001,Shere Khan,Mammal,Bengal Tiger,"Solitary, Territorial",5/15/2020
100002,150002,540401,200002,Caesar,Mammal,Chimpanzee,"Social, Highly Intelligent",9/22/2018
100003,150003,540101,200003,Zola,Mammal,African Elephant,"Calm, Herd Animal",3/10/2015
100004,150004,540301,200004,Skye,Bird,Macaw,"Loud, Playful",11/1/2021
100005,150005,540201,200001,Spike,Reptile,Komodo Dragon,"Lethargic, Ambush Predator",7/7/2019
100006,150006,540102,200002,Luna,Mammal,Red Panda,"Shy, Arboreal",1/20/2022
100007,150007,540302,200003,Talon,Bird,Golden Eagle,"Fierce, Majestic",6/12/2017
100008,150008,540502,200004,Simba,Mammal,African Lion,"Dominant, Pride Member",2/29/2020
100009,150001,540101,200001,Gaia,Mammal,Giraffe,"Gentle, Grazer",10/18/2016
100010,150002,540402,200002,Coco,Mammal,Orangutan,"Reserved, Tool User",4/5/2019
100011,150003,540102,200003,Rocky,Mammal,Black Rhino,"Stubborn, Solitary",11/25/2014
100012,150004,540301,200004,Zippy,Bird,Penguin (African),"Energetic, Colony Member",1/15/2023
100013,150005,540202,200001,Sly,Reptile,Alligator,"Patient, Aquatic",8/1/2018
100014,150006,540501,200002,Zara,Mammal,Snow Leopard,"Elusive, Mountain Dweller",3/3/2021
100015,150007,540101,200003,Marty,Mammal,Zebra,"Nervous, Fast Runner",9/10/2022
100016,150008,540401,200004,Mika,Mammal,Gorilla,"Powerful, Family-Oriented",12/1/2017
100017,150009,540201,200001,Naja,Reptile,King Cobra,"Venomous, Alert",4/14/2020
100018,150010,540302,200002,Hermes,Bird,Peregrine Falcon,"Swift, Hunter",6/6/2023
100019,150001,540502,200003,Nala,Mammal,African Lion,"Playful, Social",3/1/2020
100020,150002,540102,200004,Rory,Mammal,Kangaroo,"Jumpy, Docile",5/8/2022
