Ticket_ID,Employee_ID (Guide),Ticket_Type,Price,Date_issued,Extra_Cost
000001,NULL,Child (0-3),0,12/4/2025 10:05,0
000002,200011,Family,19.2,12/4/2025 10:15,5
000003,NULL,Disabled,4.8,12/4/2025 11:00,0
000004,200012,Adult,24,12/4/2025 11:15,0
000005,NULL,Family,19.2,12/4/2025 12:00,0
000006,200012,Student,18,12/4/2025 13:30,0
000007,NULL,Elderly,16.8,12/4/2025 14:00,0
000008,200012,Child (4-12),16.8,12/4/2025 15:00,5
000009,NULL,Teacher,12,12/4/2025 16:00,0
000010,200012,Adult,24,12/4/2025 16:30,0
